namesGroup1,namesGroup2,namesGroup3,frequency
"[""Εκκίνηση διαδικασίας""]","[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",45
"[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]",39
"[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]","[""Καταχώριση στοιχείων πολίτη, δημιουργία και πρωτοκόλληση αίτησης""]",38
"[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έλεγχος έννομου συμφέροντος τρίτου""]",33
"[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έλεγχος έννομου συμφέροντος τρίτου""]","[""Έκδοση και επίδοση της βεβαίωσης""]",33
"[""Πρωτοκόλληση""]","[""Έλεγχος Δικαιολογητικών""]","[""Επεξεργασία""]",31
"[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]","[""Καταχώριση στοιχείων πολίτη, δημιουργία και πρωτοκόλληση αίτησης""]","[""Αποστολή φακέλου υπόθεσης στην αρμόδια υπηρεσία""]",29
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή Δήλωσης και Δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Δήλωσης και Δικαιολογητικών""]",23
"[""Έγγραφο περί ελλείψεων δικαιολογητικών""]","[""Λήψη απόντων δικαιολογητικών""]","[""Μη παραλαβή επιπλέον δικαιολογητικών ή ελλείψεις στα δικαιολογητικά""]",23
"[""Λήψη απόντων δικαιολογητικών""]","[""Μη παραλαβή επιπλέον δικαιολογητικών ή ελλείψεις στα δικαιολογητικά""]","[""Απόρριψη αίτησης""]",23
"[""Επεξεργασία της αίτησης από το αρμόδιο Τμήμα""]","[""Δημοσίευση στο Μητρώο Αιτήσεων Αδειών""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]",22
