ProcessId,EvidenceName,StepName,SharedTopicsCount,SharedKeywordsCount,TotalSharedEntities
524787,"""Ηλεκτρονική Υποβολή Ηλεκτρονικής αίτησης για απονομή εξωιδρυματικού επιδόματος""","""Υποβολή ηλεκτρονικής αίτησης για απονομή εξωιδρυματικού επιδόματος""",1,3,4
771736,"""Γνωμοδότηση Διοικητικού Συμβουλίου της Σιβιτανιδείου ΔΣΤΕ""","""Γνωμοδότηση του Διοικητικού Συμβουλίου της Σιβιτανιδείου ΔΣΤΕ""",1,3,4
454755,"""Εισήγηση του δημοτικού συμβουλίου""","""Εισήγηση του δημοτικού συμβουλίου""",1,3,4
830049,"""Τεχνική Έκθεση από  διαπιστευμένο φορέα ή ιδιώτη  μηχανικό""","""Παραλαβή Τεχνικής Έκθεσης από διαπιστευμένο φορέα ή ιδιώτη  μηχανικό""",1,3,4
454755,"""Απόφαση του δημοτικού συμβουλίου επί της (θετικής ή αρνητικής) σύμφωνης γνώμης της επιτροπής του άρθρου 8 του ν.3463/2006""","""Απόφαση του δημοτικού συμβουλίου επί της (θετικής ή αρνητικής) σύμφωνης γνώμης της επιτροπής του άρθρου 8 του ν. 3463/ 2006""",1,3,4
954296,"""Καταχώρηση χειρόγραφης γνωμάτευσης και Upload αρχείου""","""Καταχώρηση χειρόγραφης γνωμάτευσης και Upload αρχείου""",1,3,4
978127,"""Γνωμάτευση Ανωτάτης Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Παραπομπή στην Ανωτάτη Υγειονομική Επιτροπή της Ελληνικής Αστυνομίας""",1,3,4
607722,"""Πρακτικό του περιφερειακού υπηρεσιακού συμβουλίου πρωτοβάθμιας εκπαίδευσης (Π.Υ.Σ.Π.Ε.) στο οποίο διατυπώνει την εισήγησή του προς τον Διευθυντή Πρωτοβάθμιας Εκπαίδευσης περί ορισμού αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου.""","""Έκδοση πρακτικού του αρμόδιου Περιφερειακού Υπηρεσιακού Συμβουλίου Πρωτοβάθμιας Εκπαίδευσης (Π.Υ.Σ.Π.Ε.) για τον ορισμό αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου""",1,3,4
416863,"""Γνωμάτευση από την Ανωτάτη Υγειονομική Επιτροπή της Ελληνικής Αστυνομίας (Α.Υ.Ε.).""","""Παραπομπή στην Ανωτάτη Υγειονομική Επιτροπή (Α.Υ.Ε.) της Ελληνικής Αστυνομίας""",0,3,3
930246,"""Υπεύθυνη δήλωση για απόκτηση ηλεκτρονικής υπογραφής από την ΑΠΕΔ""","""Έκδοση ηλεκτρονικής υπεύθυνης δήλωσης για απόκτηση ηλεκτρονικής υπογραφής από την ΑΠΕΔ""",0,3,3
975732,"""Γνωμάτευση από την Ανωτάτη Υγειονομική Επιτροπή της Ελληνικής Αστυνομίας (Α.Υ.Ε.).""","""Παραπομπή στην Ανωτάτη Υγειονομική Επιτροπή της Ελληνικής Αστυνομίας""",0,3,3
675455,"""Επιχώρια ληξιαρχική πράξη γάμου ή βεβαίωση γάμου από την Μητρόπολη που τελέσθηκε το μυστήριο του γάμου.""","""Συμπλήρωση ληξιαρχικής πράξης γάμου""",1,2,3
997316,"""Δικαιολογητικά για την άρση οποιουδήποτε κωλύματος, εφόσον υπάρχει, αναφορικά με τη δυνατότητα διαγραφής του οχήματος.""","""Έκδοση απόφαση οριστικής διαγραφής του οχήματος""",1,2,3
958623,"""Άδεια εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε, σε ισχύ.""","""Παραλαβή αίτησης για τροποποίηση ως προς τις εγκαταστάσεις άδειας εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε""",1,2,3
454755,"""Εισήγηση του οικείου συμβουλίου κοινότητας ή του προέδρου της κοινότητας""","""Εισήγηση του οικείου συμβουλίου κοινότητας ή εκπροσώπου της κοινότητας""",1,2,3
607722,"""Πρακτικό του περιφερειακού υπηρεσιακού συμβουλίου πρωτοβάθμιας εκπαίδευσης (Π.Υ.Σ.Π.Ε.) στο οποίο διατυπώνει την εισήγησή του προς τον Διευθυντή Πρωτοβάθμιας Εκπαίδευσης περί ορισμού αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου.""","""Απόφαση ορισμού αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου""",1,2,3
739974,"""Άδεια για απευθείας προμήθεια πετρελαιοειδών από τα διυλιστήρια ή από εισαγωγή, σε ισχύ.""","""Τροποποίηση ως προς τις εγκαταστάσεις Άδειας για απευθείας προμήθεια πετρελαιοειδών από τα διυλιστήρια ή από εισαγωγή""",1,2,3
688414,"""Πρακτικά εκτίμησης της αξίας των ζώντων ζώων.""","""Εκτίμηση της  αξίας των ζώντων ζώων""",1,2,3
303540,"""Αναλυτική κατάσταση των συμβάσεων εργασίας""","""Πρωτοκόλληση της αναλυτικής κατάστασης των συμβάσεων εργασίας""",1,2,3
774591,"""Συμπληρωμένο έγγραφο κοινοποίησης για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Έγγραφη συγκατάθεση στη διασυνοριακή μεταφορά αποβλήτων""",1,2,3
744734,"""Βεβαίωση της καταχώρισης του επαγγελματικού πλοίου στο Μητρώο Πλοιών (e- Μητρώο Πλοίων).""","""Καταχώριση του επαγγελματικού πλοίου στη μερίδα ΝΕΠΑ""",1,2,3
774591,"""Συμπληρωμένο έγγραφο κοινοποίησης για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Παραλαβή αίτησης για χορήγηση κωδικών αριθμών εγγράφων διασυνοριακής μεταφοράς αποβλήτων""",1,2,3
512142,"""Άδεια εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε.""","""Παραλαβή αίτησης για τροποποίηση, ως προς την επωνυμία του κατόχου, της άδειας εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε""",1,2,3
471194,"""Άδεια μεταφοράς με αγωγό, σε ισχύ.""","""Ανανέωση Άδειας Μεταφοράς με Αγωγό""",1,2,3
574547,"""Δικαιολογητικά για την άρση οποιουδήποτε κωλύματος, εφόσον υπάρχει, αναφορικά με τη  δυνατότητα διαγραφής του οχήματος""","""Έκδοση απόφαση οριστικής διαγραφής του οχήματος""",1,2,3
696420,"""Πρακτικά εκτίμησης της αξίας των ζώντων ζώων.""","""Εκτίμηση της  αξίας των ζώντων ζώων""",1,2,3
880506,"""Βιβλιάριο της ατομικής επαγγελματικής άδειας αλιείας (η οποία χρήζει ανανέωσης).""","""Απόρριψη ανανέωσης ατομικής επαγγελματικής άδειας αλιείας""",1,2,3
958623,"""Άδεια εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε, σε ισχύ.""","""Τροποποίηση, ως προς τις εγκαταστάσεις, άδειας εμπορίας πετρελαιοειδών προϊόντων για τα νησιά του Αιγαίου κατηγορίας Ε""",1,2,3
607722,"""Πρακτικό του περιφερειακού υπηρεσιακού συμβουλίου πρωτοβάθμιας εκπαίδευσης (Π.Υ.Σ.Π.Ε.) στο οποίο διατυπώνει την εισήγησή του προς τον Διευθυντή Πρωτοβάθμιας Εκπαίδευσης περί ορισμού αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου.""","""Δημοσίευση απόφασης ορισμού αναπληρωτή Προϊσταμένου διθέσιου ή τριθέσιου δημοτικού σχολείου ή νηπιαγωγείου""",1,2,3
516373,"""Συνταξιοδοτική Πράξη""","""Λήψη Συνταξιοδοτικής Πράξης από Μ.Τ.Α.""",1,2,3
617018,"""Άδεια εμπορίας πετρελαιοειδών προϊόντων και αργού πετρελαίου κατηγορίας Α, σε ισχύ.""","""Παραλαβή της αίτησης για ανάκληση άδειας εμπορίας πετρελαιοειδών προϊόντων και αργού πετρελαίου κατηγορίας Α""",1,2,3
965454,"""Αίτηση οικειοθελούς μείωσης  τιμής μετά από ανατιμολόγηση""","""Παραλαβή της αίτησης οικειοθελούς μείωσης  τιμής μετά από ανατιμολόγηση""",1,2,3
874776,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Παραπομπή στις Υγειονομικές Επιτροπές της Ελληνικής Αστυνομίας.""",1,2,3
911647,"""Πιστοποιητικό στρατολογικής κατάστασης για τους άνδρες (ζητείται Υπηρεσιακώς)""","""Αυτεπάγγελτη αναζήτηση πιστοποιητικού στρατολογικής κατάστασης""",1,2,3
997316,"""Δικαιολογητικά για την άρση οποιουδήποτε κωλύματος, εφόσον υπάρχει, αναφορικά με τη δυνατότητα διαγραφής του οχήματος.""","""Αποστολή απόφασης οριστικής διαγραφής του οχήματος στον αιτούντα""",1,2,3
774591,"""Συμπληρωμένο έγγραφο μεταφοράς για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Παραλαβή αίτησης για χορήγηση κωδικών αριθμών εγγράφων διασυνοριακής μεταφοράς αποβλήτων""",1,2,3
660346,"""Θεωρημένη Βεβαίωση της εκάστοτε Αθλητικής Ομοσπονδίας από τη Γενική Γραμματεία Αθλητισμού.""","""Παραλαβή θεωρημένης Βεβαίωσης της εκάστοτε ομοσπονδίας από τη Γενική Γραμματεία Αθλητισμού .""",1,2,3
782621,"""Συμπληρωμένο έγγραφο κοινοποίησης για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Έγγραφη συγκατάθεση στη διασυνοριακή μεταφορά αποβλήτων""",1,2,3
454755,"""Εισήγηση του δημοτικού συμβουλίου""","""Απόφαση δημοτικού συμβουλίου""",1,2,3
988703,"""Ληξιαρχική πράξη γέννησης""","""Εγγραφή ληξιαρχικής πράξης γέννησης""",1,2,3
600111,"""Προηγούμενο Πιστοποιητικό Οχήματος Μεταφοράς Επικίνδυνων Εμπορευμάτων ADR""","""Έκδοση Πιστοποιητικού Οχήματος Μεταφοράς Επικίνδυνων Εμπορευμάτων ADR""",1,2,3
323519,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Παραλαβή αίτησης για επανεξέταση από τις Υγειονομικές Επιτροπές Ελληνικής Αστυνομίας.""",1,2,3
959603,"""Αποδεικτικό ασφαλιστικής ενημερότητας για μεταβίβαση φορτηγού αυτοκινήτου δημοσίας χρήσης από τον ΕΦΚΑ.""","""Καταχώρηση της άδειας κυκλοφορίας φορτηγού δημοσίας χρήσης στο Μητρώο Αδειών Κυκλοφορίας Οχημάτων""",1,2,3
532936,"""Άδεια εμπορίας ασφάλτου κατηγορίας Δ, σε ισχύ.""","""Παραλαβή αίτησης για ανάκληση άδειας εμπορίας ασφάλτου κατηγορίας Δ""",1,2,3
