Process1,Process2,NumberOfSharedConditions
574243,476682,16
574243,781838,16
574243,627122,16
823970,716344,12
823970,945315,12
193433,441534,12
421858,237276,11
421858,842499,11
556174,384427,11
771392,448313,11
556174,784151,10
823970,557451,10
771392,794958,10
360159,378273,9
131976,962443,9
822349,515758,9
138444,698780,8
202162,377826,8
158679,794128,8
158679,743042,8
729122,104857,8
866719,276771,8
866719,650373,8
866719,386662,8
771392,353442,8
131976,698901,8
133401,805605,8
133401,962572,8
449862,488870,7
214376,327603,7
866719,628675,7
866719,316131,7
879661,231953,7
236384,539040,7
963466,615814,7
585278,127597,7
963466,485137,7
963466,490024,7
158679,865079,7
158679,884114,7
158679,915168,7
158679,673819,7
158679,219046,7
158679,706036,7
158679,280463,7
158679,892444,7
158679,421094,7
158679,403394,7
217892,345890,7
217892,998423,7
217892,826694,7
217892,649854,7
217892,458046,7
217892,787673,7
217892,254728,7
217892,841974,7
217892,537887,7
217892,675914,7
217892,251017,7
217892,186337,7
217892,308807,7
217892,595843,7
217892,435858,7
217892,739124,7
217892,872815,7
217892,991877,7
217892,217677,7
158679,834418,7
563051,345140,6
421858,546157,6
421858,965211,6
115604,475726,6
999843,825375,6
131976,822742,6
556174,458427,6
616541,779845,6
823970,483417,6
449862,186293,6
814084,344649,6
214376,885162,6
214376,313511,6
746473,669867,6
686844,118431,6
746473,692379,6
158314,911647,6
814084,621085,6
864888,399306,6
864888,723793,6
814084,915143,6
864888,691646,5
585278,685595,5
585278,908805,5
814084,430204,5
615814,485137,5
615814,490024,5
177647,906805,5
109361,426207,5
884241,964979,5
964979,962443,5
964979,822742,5
857575,790644,5
857575,786374,5
857575,353302,5
857575,754459,5
630464,732773,5
236617,361787,5
236617,321697,5
735475,443327,5
449862,657424,5
866719,490044,5
866719,997775,5
647884,314139,5
746473,901268,5
746473,516037,5
897141,788475,5
414324,512474,5
320978,872829,5
320978,260462,5
320978,495250,5
131976,884241,5
884241,336537,5
690164,519079,5
168543,689165,5
229859,939894,5
213623,343016,5
814084,443883,5
814084,712714,5
631326,381134,5
631326,953700,5
631326,649333,5
837051,514557,5
837051,440642,5
225434,742507,4
778067,238460,4
778067,353614,4
778067,293105,4
814084,996993,4
814084,358399,4
882412,270033,4
866719,270033,4
866719,393978,4
882412,475401,4
882412,262588,4
647884,471441,4
248132,850802,4
647884,979234,4
360159,858329,4
481610,273788,4
491573,264600,4
491573,815536,4
807156,398954,4
616410,291799,4
393018,859479,4
591516,394196,4
857575,560041,4
560041,474294,4
857575,474294,4
560041,477342,4
857575,573309,4
217561,759926,4
870013,153022,4
213623,414878,4
794350,199394,4
814084,672122,4
469143,766938,4
882601,789873,4
882412,744467,4
472783,768960,4
882601,585034,4
874875,973384,4
121551,831000,4
105980,792777,4
105980,695249,4
560235,457964,4
105980,962684,4
382332,286196,4
963466,787156,4
109361,193639,4
963466,291454,4
306189,985375,4
491573,596897,4
913677,439853,4
217892,941304,4
217892,348756,4
217892,329698,4
217892,754234,4
217892,783256,4
404176,663887,4
857575,486808,4
857575,562208,4
560041,604977,4
702322,159236,4
823970,934073,4
823970,754813,4
139204,709804,4
139204,960388,4
139204,161984,4
629589,751895,4
630464,973029,4
630464,828368,4
735475,958859,4
768448,356221,4
857575,749807,4
