Process1,Process2,NumberOfSharedEvidences
857575,560041,21
857575,474294,21
284209,178657,21
857575,573309,20
871790,516037,20
871790,692379,19
857575,754459,17
574243,476682,16
857575,477342,15
857575,543540,15
857575,592440,15
477342,486808,14
574243,627122,14
857575,786374,14
857575,790644,13
857575,783553,13
574243,781838,13
421858,842499,13
585278,127597,13
585278,555454,12
181054,567533,12
857575,604977,12
585278,685595,12
585278,922296,12
647884,314139,12
778067,829115,11
131976,698901,11
964979,962443,11
585278,908805,11
452751,358763,11
857575,562208,11
857575,353302,11
857575,440540,11
477342,604977,11
857575,471194,10
688414,696420,10
964979,822742,10
585278,464934,10
585278,621085,10
353442,334546,10
824059,630009,10
284447,178215,10
284447,835071,10
284447,951846,10
284447,394059,10
778067,238460,9
585278,814084,9
814084,344649,9
284447,775642,9
236384,539040,9
131976,884241,9
814084,443883,9
814084,621085,9
615814,490024,9
556174,428845,9
556174,460490,9
477342,249801,9
857575,486808,9
309920,195027,8
857575,592939,8
139204,960388,8
585278,344649,8
585278,878790,8
959603,460214,8
647884,979234,8
585278,443883,8
791654,134849,8
309920,963844,8
585278,915143,8
585278,430204,8
477342,749807,8
857575,749807,8
814084,915143,7
814084,430204,7
585278,794350,7
647884,471441,7
647884,992934,7
746473,669867,7
686844,118431,7
698901,336537,7
885346,724321,7
777971,909090,7
158679,865079,7
158679,219046,7
158679,706036,7
158679,280463,7
158679,892444,7
158679,421094,7
158679,403394,7
217892,345890,7
217892,998423,7
217892,826694,7
217892,649854,7
217892,458046,7
217892,787673,7
217892,254728,7
217892,841974,7
217892,537887,7
217892,675914,7
217892,251017,7
217892,186337,7
217892,308807,7
217892,595843,7
217892,435858,7
217892,739124,7
217892,872815,7
217892,991877,7
217892,217677,7
158679,834418,7
414945,563640,7
131976,962443,7
131976,822742,7
537916,455308,7
822349,515758,7
309920,856074,7
568216,407972,7
568216,681408,7
592440,783553,7
702322,159236,7
139204,161984,7
658401,296996,7
537916,404176,7
585278,175275,7
585278,199394,7
631326,953700,7
689671,728231,7
689671,967926,7
556174,440334,7
360159,378273,7
309920,128933,7
631326,649333,6
472783,768960,6
963466,485137,6
615814,700437,6
268173,475242,6
556174,689671,6
490454,266712,6
689671,440334,6
791654,929009,6
560235,457964,6
556174,384427,6
652718,569825,6
284447,100872,6
857575,828474,6
711070,378473,6
158679,915168,6
158679,794128,6
158679,743042,6
814556,283956,6
640131,694534,6
729122,104857,6
585278,956714,6
647884,380945,6
746473,901268,6
131056,763859,6
131056,724713,6
124303,860036,6
834452,900603,6
105154,322608,6
834452,438588,6
625711,775884,6
421858,237276,6
777971,984677,6
620534,586271,6
707544,337582,6
707544,880224,6
707544,987748,6
211645,732031,6
236617,361787,6
236617,321697,6
363035,367364,6
742228,850113,6
658401,637120,6
321375,348474,6
214376,806844,5
281063,687434,5
592440,429477,5
348535,387234,5
857575,626904,5
975732,416863,5
568216,582084,5
568216,555134,5
568216,991455,5
214376,922214,5
932215,658450,5
321375,495792,5
109361,714484,5
959603,714484,5
109361,426207,5
109361,193639,5
963466,183553,5
768140,427614,5
768140,798344,5
768140,361250,5
768140,470780,5
768140,610521,5
301454,463052,5
158679,884114,5
158679,673819,5
158679,941304,5
158679,348756,5
158679,554444,5
158679,329698,5
158679,754234,5
158679,783256,5
378644,448313,5
131976,964979,5
896531,487839,5
537916,663887,5
619611,366227,5
619611,341449,5
168543,689165,5
477342,573309,5
878790,469143,5
878790,766938,5
631326,381134,5
742228,822174,5
963466,490024,5
268173,157624,5
556174,967926,5
791654,671862,5
791654,745658,5
560235,261540,5
791044,334546,5
461249,356200,5
268173,930118,5
225434,742507,5
214376,885162,5
214376,327603,5
878790,956714,5
959603,109361,5
959603,107962,5
109361,107962,5
471441,380945,5
131056,503729,5
131056,837661,5
131056,180318,5
131056,743975,5
980523,290500,5
980523,875314,5
131976,336537,5
963466,615814,5
620534,859479,5
620534,695371,5
707544,908189,5
707544,656804,5
193433,441534,5
214376,466053,4
201794,227405,4
778067,886094,4
778067,293105,4
449862,488870,4
449862,186293,4
305154,358604,4
214376,313511,4
214376,646437,4
214376,284209,4
380945,979234,4
746473,516037,4
284447,131056,4
284447,763859,4
131056,772679,4
131056,198615,4
284447,198615,4
131056,877228,4
901626,939622,4
900603,438588,4
375869,255295,4
746473,692379,4
217892,158679,4
884241,336537,4
577835,826421,4
620534,422752,4
620534,279708,4
620534,254811,4
707544,770516,4
707544,509915,4
591516,394196,4
299428,652282,4
299428,190471,4
421858,412862,4
217892,865079,4
217892,884114,4
217892,941304,4
217892,348756,4
217892,554444,4
217892,329698,4
217892,754234,4
217892,783256,4
640131,913843,4
640131,732541,4
759649,956525,4
663241,649631,4
135281,818683,4
426368,936695,4
309920,460008,4
214376,996489,4
857575,475087,4
348535,423613,4
857575,473773,4
348535,759562,4
857575,958623,4
348535,455257,4
348535,828668,4
857575,532936,4
477342,799366,4
857575,617018,4
857575,851147,4
857575,605381,4
857575,264049,4
215954,784679,4
857575,454783,4
299428,383154,4
331044,850113,4
468515,449856,4
214376,658450,4
321375,921364,4
321375,562421,4
321375,735410,4
321375,148578,4
321375,322121,4
321375,911884,4
321375,258602,4
878790,175275,4
585278,469143,4
585278,766938,4
331044,742228,4
331044,822174,4
620534,580280,4
185170,114323,4
556174,728231,4
689671,428845,4
689671,460490,4
563859,871401,4
791654,792974,4
689671,384427,4
353442,286196,4
963466,787156,4
814359,296489,4
959603,135964,4
