Process1,Process2,NumberOfSharedSteps
772679,198615,28
772679,100872,18
823970,557451,17
823970,945315,17
823970,716344,16
106576,912456,15
106576,894344,15
106576,239578,15
106576,251936,15
106576,527543,15
106576,955481,15
585278,127597,15
585278,685595,15
106576,167470,15
585278,908805,14
409814,194624,12
409814,197055,12
409814,488912,12
421858,842499,12
193433,441534,12
421858,237276,11
777971,984677,11
193433,942464,11
193433,291387,11
193433,979999,11
658401,637120,11
181054,567533,11
746473,669867,11
746473,901268,11
877228,743975,10
658401,296996,10
754994,917647,10
754994,612095,10
193433,789460,10
168543,689165,10
468515,615924,10
468515,449856,10
468515,808328,10
468515,481663,10
468515,150484,10
468515,579562,9
237276,842499,9
185170,341597,9
620534,422752,9
616541,779845,9
823970,483417,9
585278,922296,9
746473,871790,9
746473,516037,9
746473,692379,9
318186,941601,9
318186,664416,9
318186,899662,9
318186,517418,9
585278,555454,9
309084,625627,9
746473,414318,9
174516,517184,9
658401,345314,9
702956,607560,9
258560,337483,8
729122,104857,8
478433,936339,8
778067,293105,8
618540,207000,8
131056,837661,8
131056,180318,8
284447,775642,8
284447,178215,8
284447,835071,8
284447,951846,8
284447,394059,8
468515,433834,8
777971,909090,8
459873,623424,8
131976,884241,8
185170,114323,8
185170,885247,8
560235,457964,8
746473,438954,8
652718,149250,8
426368,936695,7
225649,674675,7
778067,886094,7
778067,832485,7
814084,344649,7
879661,231953,7
647884,471441,7
926817,591907,7
774591,782621,7
771008,143410,7
771008,956884,7
217561,759926,7
814084,621085,7
620534,586271,7
133401,805605,7
133401,962572,7
766144,596544,7
236617,361787,7
236617,321697,7
215954,784679,7
688414,696420,7
215954,637937,7
627147,877661,7
963466,485137,7
963466,700437,7
969719,746093,7
702956,194996,7
899508,563051,7
299147,309920,7
299147,570467,7
299147,128933,7
447513,191440,7
447513,733712,7
447513,565399,7
447513,933760,7
560235,261540,7
161711,768361,7
963466,490024,6
874875,671862,6
874875,896300,6
874875,792974,6
874875,745658,6
899508,345140,6
939146,641500,6
454809,131875,6
393018,859479,6
393018,279708,6
729598,315336,6
214376,466053,6
201794,227405,6
778067,829115,6
778067,353614,6
778067,551505,6
778067,152191,6
214376,646437,6
131056,763859,6
131056,503729,6
131056,724713,6
131056,688565,6
454809,325031,6
214376,996489,6
214376,806844,6
771008,290109,6
857575,477342,6
794350,199394,6
814084,443883,6
358399,712714,6
948121,777529,6
976324,353843,6
331044,742228,6
934073,192478,6
719295,835016,6
388816,473859,6
458205,905521,6
621184,686162,6
331044,850113,6
834452,900603,6
245251,405563,6
131976,336537,6
864888,399306,6
864888,723793,6
864888,691646,6
619611,366227,6
619611,618887,6
919340,843717,6
619611,187119,6
754994,209066,5
585278,915143,5
585278,430204,5
857575,749807,5
701482,554361,5
328729,689627,5
919340,444516,5
857575,560041,5
857575,543540,5
585278,443883,5
996993,672122,5
585278,621085,5
729598,920298,5
729598,650752,5
729598,698214,5
331044,822174,5
824059,630009,5
778067,974381,5
778067,238460,5
585278,814084,5
585278,344649,5
866719,276771,5
866719,628675,5
866719,997775,5
647884,314139,5
729598,412191,5
729598,928139,5
268173,157624,5
466579,188749,5
616541,662612,5
393018,834281,5
393018,254811,5
229859,939894,5
737837,727138,5
733461,850567,5
857575,702322,5
857575,486808,5
754994,688168,5
668759,407972,5
569825,149250,5
115604,475726,5
471746,652282,5
471746,190471,5
951399,473798,5
158679,865079,5
158679,884114,5
158679,915168,5
158679,794128,5
158679,219046,5
158679,706036,5
158679,743042,5
158679,941304,5
158679,280463,5
158679,892444,5
158679,421094,5
158679,403394,5
158679,348756,5
158679,554444,5
158679,329698,5
158679,754234,5
158679,783256,5
158679,834418,5
814556,283956,5
291827,639908,5
964979,962443,5
774591,639415,5
124303,860036,5
460474,456343,5
673946,251293,5
632764,557943,5
958057,122232,5
958057,328449,5
857575,790644,5
857575,754459,5
857575,440540,5
857575,783553,5
857575,159236,5
857575,471194,5
668759,582084,5
668759,555134,5
846510,897244,5
668759,991455,5
214376,922214,5
550056,837066,5
742228,850113,5
630464,732773,4
630464,973029,4
630464,828368,4
397411,512394,4
155029,886724,4
779714,751835,4
217892,217677,4
712348,883351,4
712348,477946,4
515481,694749,4
515481,251680,4
515481,438962,4
515481,243878,4
516373,950387,4
494101,263649,4
185170,917848,4
155029,822214,4
168798,526979,4
964979,822742,4
665998,985440,4
969287,603227,4
896531,487839,4
665998,137114,4
616541,715319,4
185170,252759,4
492591,461545,4
393018,695371,4
770516,509915,4
423683,138193,4
317914,318488,4
333879,847429,4
805605,962572,4
939894,445424,4
619730,276587,4
729598,732614,4
710942,774124,4
710942,972833,4
138444,698780,4
360159,378273,4
874875,791654,4
874875,920526,4
874875,766252,4
671862,896300,4
874875,134849,4
466579,399885,4
858329,766924,4
202162,377826,4
537916,648584,4
771008,942985,4
258560,675520,4
138638,439182,4
857575,474294,4
732806,208654,4
857575,573309,4
697446,259809,4
868147,933757,4
596734,778602,4
722872,306120,4
729598,508894,4
729598,447177,4
729598,636863,4
729598,441847,4
729598,302838,4
576293,576397,4
576293,921737,4
742228,822174,4
447205,343478,4
754994,343478,4
932215,658450,4
249269,371796,4
814084,915143,4
941948,471945,4
619611,341449,4
919340,328729,4
919340,689627,4
666844,591666,4
857575,786374,4
857575,562208,4
857575,353302,4
585688,757927,4
857575,604977,4
857575,592939,4
216140,467943,4
429354,327901,4
375869,255295,4
460474,601586,4
981585,792039,4
673946,119465,4
131976,698901,4
454755,553800,4
585688,343872,4
585688,789032,4
655482,683268,4
655482,168115,4
655482,354869,4
426368,724632,4
426368,999594,4
754994,447205,4
668759,568216,4
668759,681408,4
466579,225241,4
225434,374832,4
478433,227405,4
799324,567327,4
409814,963135,4
386162,720874,4
217561,869747,4
217561,997777,4
482863,621036,4
878790,956714,4
814359,585114,4
866719,650373,4
959603,460214,4
882412,503576,4
152682,485534,4
161275,925568,4
248132,630041,4
124032,786226,4
858329,808323,4
284447,131056,4
284447,763859,4
284447,503729,4
284447,837661,4
284447,180318,4
284447,724713,4
284447,688565,4
814359,296489,4
101050,611926,4
461249,356200,4
743627,276685,4
963466,306189,4
963466,985375,4
768140,427614,4
768140,361250,4
768140,610521,4
857575,828474,4
857575,592440,4
874875,254184,4
210431,711070,4
158679,673819,4
217892,345890,4
217892,998423,4
217892,826694,4
217892,649854,4
217892,458046,4
217892,787673,4
217892,254728,4
217892,841974,4
217892,537887,4
217892,675914,4
217892,251017,4
217892,186337,4
217892,308807,4
217892,595843,4
217892,435858,4
217892,739124,4
217892,872815,4
217892,991877,4
