Process1,Process2,similarity
621184,686162,1.0
596348,464354,1.0
596348,531795,1.0
596348,897025,1.0
596348,978479,1.0
596348,243423,1.0
596348,124461,1.0
596348,792390,1.0
596348,593956,1.0
593956,464354,1.0
593956,531795,1.0
593956,897025,1.0
593956,978479,1.0
593956,243423,1.0
593956,124461,1.0
593956,792390,1.0
617034,585643,1.0
742608,113481,1.0
203782,266443,1.0
203782,855934,1.0
203782,393217,1.0
203782,614137,1.0
641589,355172,1.0
641589,848894,1.0
641589,176907,1.0
641589,189044,1.0
641589,591057,1.0
641589,480040,1.0
641589,458804,1.0
641589,693921,1.0
641589,717495,1.0
641589,507793,1.0
507793,355172,1.0
507793,848894,1.0
507793,176907,1.0
507793,189044,1.0
507793,591057,1.0
507793,480040,1.0
507793,458804,1.0
507793,693921,1.0
507793,717495,1.0
355172,848894,1.0
355172,176907,1.0
355172,189044,1.0
355172,591057,1.0
355172,480040,1.0
355172,458804,1.0
355172,693921,1.0
355172,717495,1.0
189044,848894,1.0
189044,176907,1.0
189044,591057,1.0
189044,480040,1.0
189044,458804,1.0
189044,693921,1.0
189044,717495,1.0
176907,848894,1.0
176907,591057,1.0
176907,480040,1.0
176907,458804,1.0
176907,693921,1.0
176907,717495,1.0
929547,286202,1.0
929547,397844,1.0
848894,591057,1.0
848894,480040,1.0
848894,458804,1.0
848894,693921,1.0
848894,717495,1.0
717495,591057,1.0
717495,480040,1.0
717495,458804,1.0
717495,693921,1.0
693921,591057,1.0
693921,480040,1.0
693921,458804,1.0
434980,433421,1.0
132869,276916,1.0
132869,965343,1.0
132869,539156,1.0
464354,531795,1.0
464354,897025,1.0
464354,978479,1.0
464354,243423,1.0
464354,124461,1.0
464354,792390,1.0
539156,276916,1.0
539156,965343,1.0
276916,965343,1.0
276771,386662,1.0
276771,650373,1.0
650373,386662,1.0
108576,227797,1.0
490044,997775,1.0
193193,678896,1.0
614137,266443,1.0
614137,855934,1.0
614137,393217,1.0
879124,275911,1.0
903807,649198,1.0
903807,909031,1.0
909031,649198,1.0
398240,471763,1.0
625711,775884,1.0
205151,990823,1.0
205151,464681,1.0
205151,483757,1.0
205151,694999,1.0
205151,461821,1.0
205151,858870,1.0
205151,386384,1.0
205151,977198,1.0
205151,392524,1.0
205151,989411,1.0
989411,990823,1.0
989411,464681,1.0
989411,483757,1.0
989411,694999,1.0
989411,461821,1.0
989411,858870,1.0
989411,386384,1.0
989411,977198,1.0
989411,392524,1.0
458804,591057,1.0
458804,480040,1.0
997838,439618,1.0
893187,449639,1.0
480040,591057,1.0
525215,594015,1.0
525215,962251,1.0
962251,594015,1.0
706200,605798,1.0
694999,990823,1.0
694999,464681,1.0
694999,483757,1.0
694999,461821,1.0
694999,858870,1.0
694999,386384,1.0
694999,977198,1.0
694999,392524,1.0
990823,464681,1.0
990823,483757,1.0
990823,461821,1.0
990823,858870,1.0
990823,386384,1.0
990823,977198,1.0
990823,392524,1.0
291387,789460,1.0
978479,531795,1.0
978479,897025,1.0
978479,243423,1.0
978479,124461,1.0
978479,792390,1.0
897025,531795,1.0
897025,243423,1.0
897025,124461,1.0
897025,792390,1.0
169954,426541,1.0
169954,860383,1.0
169954,565450,1.0
169954,366546,1.0
169954,313863,1.0
313863,426541,1.0
313863,860383,1.0
313863,565450,1.0
313863,366546,1.0
426541,860383,1.0
426541,565450,1.0
426541,366546,1.0
366546,860383,1.0
366546,565450,1.0
565450,860383,1.0
483757,464681,1.0
483757,461821,1.0
483757,858870,1.0
483757,386384,1.0
483757,977198,1.0
483757,392524,1.0
464681,461821,1.0
464681,858870,1.0
186337,308807,1.0
749744,823345,1.0
769853,470208,1.0
769853,912685,1.0
771624,328892,1.0
470208,912685,1.0
131951,311604,1.0
941601,922843,1.0
878691,664734,1.0
397844,286202,1.0
753549,610358,1.0
888452,225492,1.0
719346,196487,1.0
826583,582352,1.0
673186,996828,1.0
787114,393191,1.0
697975,963778,1.0
464681,386384,1.0
464681,977198,1.0
464681,392524,1.0
392524,461821,1.0
392524,858870,1.0
392524,386384,1.0
392524,977198,1.0
977198,461821,1.0
977198,858870,1.0
977198,386384,1.0
386384,461821,1.0
386384,858870,1.0
858870,461821,1.0
531795,243423,1.0
531795,124461,1.0
531795,792390,1.0
266443,855934,1.0
266443,393217,1.0
393217,855934,1.0
186151,509858,1.0
841337,470208,1.0
841337,912685,1.0
841337,769853,1.0
181054,567533,1.0
438401,720967,1.0
438401,426552,1.0
792390,243423,1.0
792390,124461,1.0
124461,243423,1.0
426552,720967,1.0
941304,754234,0.9523809523809523
591516,394196,0.9473684210526315
963844,195027,0.9375
219046,834418,0.9230769230769231
219046,280463,0.9230769230769231
280463,834418,0.9230769230769231
998423,308807,0.9130434782608695
998423,186337,0.9130434782608695
826694,254728,0.9130434782608695
458046,841974,0.9130434782608695
649854,787673,0.9090909090909091
348756,754234,0.9047619047619048
279708,254811,0.9
822349,515758,0.8947368421052632
953700,649333,0.8823529411764706
746473,669867,0.8823529411764706
903807,947546,0.875
903807,301620,0.875
903807,839215,0.875
903807,999322,0.875
903807,150804,0.875
903807,143376,0.875
143376,909031,0.875
143376,649198,0.875
163161,695099,0.875
909031,947546,0.875
909031,301620,0.875
909031,839215,0.875
909031,999322,0.875
909031,150804,0.875
649198,947546,0.875
649198,301620,0.875
649198,839215,0.875
649198,999322,0.875
649198,150804,0.875
673946,649429,0.875
649854,841974,0.8695652173913043
649854,458046,0.8695652173913043
458046,787673,0.8695652173913043
787673,841974,0.8695652173913043
792424,483486,0.8666666666666667
941304,348756,0.8636363636363636
789873,585034,0.8571428571428571
309920,128933,0.8571428571428571
398240,310036,0.8571428571428571
310036,471763,0.8571428571428571
980523,290500,0.8571428571428571
219046,892444,0.8518518518518519
280463,892444,0.8518518518518519
892444,834418,0.8518518518518519
915143,430204,0.8484848484848485
719346,218647,0.8461538461538461
218647,196487,0.8461538461538461
953298,758184,0.8461538461538461
413393,164691,0.8461538461538461
998423,254728,0.8333333333333334
